epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,11185,0.4226,0.77268,0.2327,0.36749,0.29401,0.25904,0.14129,0.60283,1.13762,0.84129,0.000697689,0.000697689,0.000697689
43,11451.6,0.43831,0.75982,0.24218,0.44453,0.38346,0.35185,0.19529,0.59091,0.93102,0.82776,0.00068459,0.00068459,0.00068459
44,11719.5,0.43437,0.71109,0.24454,0.36295,0.30136,0.27809,0.17496,0.498,1.15231,0.665,0.000671344,0.000671344,0.000671344
45,11986.5,0.41597,0.72385,0.22829,0.65343,0.39139,0.43696,0.25887,0.53361,0.92504,0.74484,0.000657963,0.000657963,0.000657963
46,12254.8,0.41097,0.71004,0.22827,0.68889,0.44191,0.50331,0.28304,0.55161,0.82501,0.73452,0.000644458,0.000644458,0.000644458
47,12521.9,0.41023,0.68804,0.22085,0.77225,0.46798,0.53105,0.29956,0.55998,0.7887,0.76268,0.000630838,0.000630838,0.000630838
48,12788.6,0.4079,0.66655,0.22311,0.76227,0.37714,0.44449,0.25231,0.59413,0.87734,0.81653,0.000617116,0.000617116,0.000617116
49,13056,0.39748,0.66781,0.21373,0.80057,0.36017,0.47011,0.27343,0.56183,1.12502,0.79251,0.000603302,0.000603302,0.000603302
50,13325,0.39233,0.65876,0.21329,0.52418,0.44884,0.37824,0.23179,0.55444,2.4842,0.72627,0.000589408,0.000589408,0.000589408
51,13592.4,0.37513,0.6815,0.20263,0.73777,0.48474,0.51181,0.31057,0.5397,0.89165,0.73462,0.000575446,0.000575446,0.000575446
52,13859.4,0.3875,0.6651,0.21437,0.63104,0.42734,0.43591,0.25807,0.59262,1.09487,0.83188,0.000561426,0.000561426,0.000561426
53,14126.8,0.39875,0.64958,0.21955,0.66093,0.35191,0.40631,0.23025,0.58272,1.01154,0.82301,0.00054736,0.00054736,0.00054736
54,14394.3,0.38229,0.67616,0.20934,0.49337,0.38268,0.32646,0.19479,0.57075,1.93912,0.80638,0.000533259,0.000533259,0.000533259
55,14661.5,0.38203,0.64898,0.20772,0.50052,0.3906,0.35444,0.22359,0.53873,1.62197,0.74233,0.000519135,0.000519135,0.000519135
56,14928.3,0.38544,0.64502,0.20814,0.59101,0.33005,0.36951,0.22327,0.54727,1.28801,0.726,0.000505,0.000505,0.000505
57,15195.1,0.38514,0.69081,0.20424,0.55488,0.35645,0.37254,0.2312,0.56932,1.33377,0.79928,0.000490865,0.000490865,0.000490865
58,15464,0.37565,0.6177,0.19991,0.46519,0.34433,0.31371,0.19187,0.57493,1.63892,0.81189,0.000476741,0.000476741,0.000476741
59,15732.3,0.37174,0.60885,0.19783,0.58727,0.4416,0.42704,0.26182,0.54948,1.62037,0.76214,0.00046264,0.00046264,0.00046264
60,16001.1,0.37724,0.60165,0.19978,0.61962,0.45435,0.4708,0.27846,0.5665,1.82716,0.80201,0.000448574,0.000448574,0.000448574
