class,precision,recall,F1,mAP@50,mAP@50-95
corrosion,0.7171,0.5158,0.6,0.6268,0.4008
cracks,0.8724,0.8306,0.851,0.8788,0.7186
paint_degradation,0.8416,0.7796,0.8094,0.8497,0.629
potholes,0.8545,0.6622,0.7462,0.762,0.5381
spalling,0.8394,0.7265,0.7789,0.7823,0.626
