epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8714.42,0.78322,1.12523,1.17885,0.64922,0.71257,0.72955,0.64604,1.27303,1.43383,1.18101,0.000660045,0.000660045,0.000660045
43,8935.56,0.7891,1.12534,1.17908,0.72403,0.66708,0.73125,0.64664,1.2813,1.47455,1.21502,0.000649046,0.000649046,0.000649046
44,9166.42,0.79703,1.13955,1.18124,0.67835,0.70057,0.72595,0.64863,1.27776,1.44199,1.18306,0.000638047,0.000638047,0.000638047
45,9382.03,0.79562,1.13102,1.17377,0.68611,0.67286,0.71467,0.63718,1.29177,1.48279,1.18898,0.000627048,0.000627048,0.000627048
46,9584.79,0.77643,1.11004,1.16956,0.70443,0.69833,0.73284,0.64595,1.28224,1.44526,1.17636,0.000616049,0.000616049,0.000616049
47,9810.93,0.78204,1.11767,1.17076,0.71501,0.69737,0.73646,0.64692,1.26029,1.42637,1.1647,0.000605051,0.000605051,0.000605051
48,10029.9,0.78419,1.103,1.16554,0.70691,0.70914,0.73092,0.64176,1.28711,1.42486,1.17755,0.000594052,0.000594052,0.000594052
49,10251.8,0.78984,1.08767,1.16733,0.70634,0.68693,0.7369,0.65168,1.26899,1.43074,1.17773,0.000583053,0.000583053,0.000583053
50,10472.8,0.76344,1.08026,1.16353,0.72976,0.71578,0.74516,0.6506,1.26675,1.3776,1.15825,0.000572054,0.000572054,0.000572054
51,10692.9,0.78396,1.09428,1.16967,0.68679,0.69881,0.73274,0.6441,1.27404,1.47358,1.17504,0.000561055,0.000561055,0.000561055
52,10916.3,0.78174,1.07881,1.16847,0.71205,0.68809,0.73501,0.65316,1.26884,1.41209,1.14395,0.000550056,0.000550056,0.000550056
53,11140.1,0.77289,1.0614,1.16352,0.7037,0.71885,0.74248,0.65304,1.2678,1.392,1.14119,0.000539057,0.000539057,0.000539057
54,11352.9,0.77452,1.05959,1.16583,0.7097,0.6753,0.72624,0.63909,1.26412,1.47459,1.16419,0.000528058,0.000528058,0.000528058
55,11576.8,0.7702,1.05634,1.16494,0.70704,0.71944,0.7455,0.65736,1.26108,1.37333,1.14575,0.000517059,0.000517059,0.000517059
56,11801.4,0.76464,1.04672,1.16061,0.72918,0.72001,0.75257,0.66462,1.25936,1.33045,1.13928,0.00050606,0.00050606,0.00050606
57,12027.1,0.74988,1.03395,1.14806,0.67546,0.69434,0.7327,0.64733,1.26854,1.37989,1.1494,0.000495062,0.000495062,0.000495062
58,12245.4,0.77016,1.05396,1.1611,0.71453,0.68974,0.73647,0.65083,1.2705,1.3806,1.13757,0.000484063,0.000484063,0.000484063
59,12469.5,0.74949,1.02253,1.14856,0.69034,0.7087,0.74192,0.64901,1.26991,1.39741,1.1443,0.000473064,0.000473064,0.000473064
