epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1853,1.29914,2.54524,1.50295,0.29078,0.31803,0.21092,0.09644,1.65503,3.2001,1.90867,0.000368384,0.000368384,0.000368384
2,143.865,1.48956,2.13628,1.64574,0.38549,0.32598,0.24357,0.12375,1.80239,2.78693,2.02536,0.000732069,0.000732069,0.000732069
3,202.476,1.52307,2.16112,1.65905,0.32228,0.30049,0.22301,0.11212,1.87743,3.32994,2.0414,0.00108909,0.00108909,0.00108909
4,260.457,1.46711,2.08846,1.62615,0.36134,0.33853,0.27829,0.15087,1.76011,2.56671,1.94406,0.001081,0.001081,0.001081
5,318.481,1.4073,2.00788,1.58948,0.40587,0.37817,0.33766,0.18196,1.57871,2.53791,1.77581,0.001071,0.001071,0.001071
6,376.668,1.36655,1.86661,1.54951,0.51188,0.41804,0.41852,0.2319,1.5756,2.24178,1.75113,0.00106101,0.00106101,0.00106101
7,434.758,1.32596,1.7649,1.52788,0.52966,0.51697,0.49438,0.28227,1.47081,1.85404,1.65339,0.00105101,0.00105101,0.00105101
8,492.759,1.29191,1.74183,1.50081,0.49918,0.44149,0.45685,0.26926,1.43675,1.99625,1.61524,0.00104101,0.00104101,0.00104101
9,550.568,1.27187,1.66507,1.47615,0.60089,0.50115,0.53321,0.33757,1.34451,1.63885,1.52439,0.00103101,0.00103101,0.00103101
10,608.497,1.24918,1.65018,1.47104,0.61212,0.5033,0.53769,0.3182,1.34652,1.70095,1.53404,0.00102101,0.00102101,0.00102101
11,666.249,1.23235,1.63712,1.45912,0.58543,0.50857,0.53885,0.31609,1.40514,1.70565,1.58799,0.00101101,0.00101101,0.00101101
12,724.236,1.22581,1.57785,1.45887,0.5885,0.54693,0.56071,0.34249,1.32391,1.57275,1.5377,0.00100101,0.00100101,0.00100101
13,782.268,1.18234,1.54477,1.42718,0.64447,0.56464,0.60363,0.37073,1.30611,1.50663,1.49643,0.000991012,0.000991012,0.000991012
14,840.083,1.18337,1.49488,1.42403,0.63584,0.55978,0.5832,0.36624,1.30897,1.56478,1.45624,0.000981013,0.000981013,0.000981013
15,898.06,1.17316,1.49048,1.41811,0.61976,0.55152,0.57693,0.36189,1.28863,1.64184,1.49782,0.000971014,0.000971014,0.000971014
16,955.787,1.15204,1.44953,1.40084,0.6822,0.56588,0.6048,0.37867,1.26852,1.52821,1.46118,0.000961015,0.000961015,0.000961015
17,1013.89,1.13606,1.41843,1.38825,0.67679,0.57479,0.64773,0.4239,1.19546,1.36935,1.39425,0.000951016,0.000951016,0.000951016
18,1071.73,1.11543,1.38762,1.37794,0.70665,0.59728,0.65054,0.42674,1.18909,1.33965,1.40111,0.000941017,0.000941017,0.000941017
19,1129.78,1.12779,1.3525,1.37956,0.61294,0.56872,0.60505,0.39073,1.24121,1.47443,1.43369,0.000931018,0.000931018,0.000931018
20,1187.81,1.10863,1.35135,1.37078,0.64753,0.56681,0.596,0.39317,1.17083,1.48512,1.38054,0.000921019,0.000921019,0.000921019
21,1245.52,1.10758,1.34992,1.36933,0.65094,0.59031,0.6205,0.40589,1.21699,1.43012,1.39926,0.00091102,0.00091102,0.00091102
22,1303.6,1.09197,1.3236,1.36261,0.66138,0.6183,0.64007,0.41088,1.1944,1.3884,1.38061,0.000901021,0.000901021,0.000901021
23,1361.63,1.09251,1.32011,1.35999,0.69541,0.61405,0.68223,0.45042,1.15929,1.267,1.34578,0.000891022,0.000891022,0.000891022
24,1419.6,1.08866,1.32538,1.35333,0.71507,0.59129,0.67258,0.44529,1.15603,1.26227,1.36001,0.000881023,0.000881023,0.000881023
25,1477.46,1.08009,1.26835,1.35212,0.72384,0.60289,0.66962,0.44674,1.15584,1.2734,1.36698,0.000871024,0.000871024,0.000871024
26,1535.31,1.06698,1.26221,1.34753,0.70793,0.59956,0.66555,0.44654,1.1484,1.28895,1.36141,0.000861025,0.000861025,0.000861025
27,1593.27,1.08388,1.26494,1.34769,0.71664,0.62935,0.69189,0.4622,1.13658,1.23015,1.31433,0.000851026,0.000851026,0.000851026
28,1651.15,1.05326,1.23345,1.33175,0.6917,0.612,0.67099,0.45209,1.13835,1.28853,1.33467,0.000841027,0.000841027,0.000841027
29,1709.17,1.04365,1.22834,1.33307,0.68178,0.60639,0.65897,0.45117,1.11951,1.34926,1.33471,0.000831028,0.000831028,0.000831028
30,1767.1,1.04806,1.22895,1.32314,0.69039,0.65067,0.70757,0.47719,1.12113,1.20181,1.31634,0.000821029,0.000821029,0.000821029
31,1825.08,1.03275,1.20473,1.32014,0.73734,0.62442,0.70121,0.47206,1.11606,1.20481,1.30453,0.00081103,0.00081103,0.00081103
32,1883.04,1.02932,1.21013,1.3136,0.74608,0.6203,0.70405,0.48017,1.10758,1.20272,1.31258,0.000801031,0.000801031,0.000801031
33,1940.82,1.0268,1.19644,1.32289,0.71175,0.63013,0.70059,0.47936,1.07923,1.17238,1.28572,0.000791032,0.000791032,0.000791032
34,1998.68,1.03537,1.16411,1.31109,0.75894,0.61028,0.70344,0.47604,1.11388,1.16058,1.30926,0.000781033,0.000781033,0.000781033
