epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2687.78,1.27755,0.84711,1.37852,0.80297,0.64353,0.71103,0.44878,1.35301,0.85963,1.35907,0.000697689,0.000697689,0.000697689
43,2751.36,1.2778,0.83449,1.37574,0.7846,0.66037,0.72042,0.46197,1.35204,0.83649,1.37082,0.00068459,0.00068459,0.00068459
44,2814.64,1.26573,0.82683,1.36863,0.8119,0.66557,0.73982,0.46101,1.38125,0.84307,1.38888,0.000671344,0.000671344,0.000671344
45,2877.96,1.25866,0.81912,1.36784,0.80637,0.66722,0.73192,0.457,1.38521,0.85261,1.38141,0.000657963,0.000657963,0.000657963
46,2941.08,1.23826,0.8114,1.3683,0.81706,0.65161,0.72509,0.45839,1.35178,0.8684,1.36431,0.000644458,0.000644458,0.000644458
47,3004.11,1.23998,0.79781,1.35258,0.81997,0.65021,0.72755,0.46131,1.35224,0.84892,1.35955,0.000630838,0.000630838,0.000630838
48,3067.04,1.23531,0.79976,1.34612,0.8103,0.64694,0.72995,0.46177,1.37216,0.84467,1.36224,0.000617116,0.000617116,0.000617116
49,3129.86,1.23307,0.78232,1.34582,0.80703,0.67039,0.72546,0.46218,1.32141,0.82879,1.35502,0.000603302,0.000603302,0.000603302
50,3192.92,1.21807,0.78159,1.34374,0.80439,0.67864,0.74269,0.46938,1.3289,0.81518,1.35792,0.000589408,0.000589408,0.000589408
51,3256.29,1.21027,0.78014,1.33728,0.79659,0.6892,0.73911,0.46685,1.34719,0.79561,1.36592,0.000575446,0.000575446,0.000575446
52,3319.44,1.21173,0.76797,1.33139,0.8086,0.67934,0.73377,0.4721,1.32976,0.82074,1.35041,0.000561426,0.000561426,0.000561426
53,3382.83,1.2155,0.76809,1.33881,0.83071,0.67645,0.7481,0.4759,1.32494,0.79054,1.3431,0.00054736,0.00054736,0.00054736
54,3445.88,1.20124,0.7457,1.32788,0.81387,0.67896,0.74044,0.47199,1.33323,0.82376,1.34478,0.000533259,0.000533259,0.000533259
55,3508.65,1.20293,0.75041,1.32621,0.82024,0.68231,0.74617,0.48146,1.3133,0.78322,1.34493,0.000519135,0.000519135,0.000519135
56,3571.71,1.22088,0.75919,1.33288,0.8232,0.67441,0.74493,0.47877,1.32787,0.78518,1.33923,0.000505,0.000505,0.000505
57,3634.78,1.17776,0.73732,1.30992,0.83535,0.669,0.74844,0.48135,1.30926,0.77696,1.34015,0.000490865,0.000490865,0.000490865
58,3697.67,1.17652,0.73249,1.31144,0.81674,0.68935,0.75513,0.48592,1.29648,0.77853,1.32627,0.000476741,0.000476741,0.000476741
59,3760.84,1.18287,0.73207,1.31869,0.80965,0.68055,0.74907,0.48341,1.30782,0.78857,1.33828,0.00046264,0.00046264,0.00046264
