epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2974.33,1.59275,1.32437,1.86864,0.49598,0.41144,0.41692,0.20677,2.01775,1.42422,2.15514,0.000697689,0.000697689,0.000697689
43,3044.88,1.56368,1.29542,1.86097,0.51214,0.41171,0.42691,0.20654,2.01011,1.42328,2.1588,0.00068459,0.00068459,0.00068459
44,3115.39,1.56038,1.27774,1.83667,0.52339,0.42525,0.43839,0.21474,1.98248,1.42067,2.13265,0.000671344,0.000671344,0.000671344
45,3186.02,1.56452,1.28233,1.84593,0.51648,0.42882,0.43608,0.21277,2.00625,1.40276,2.13355,0.000657963,0.000657963,0.000657963
46,3256.51,1.54028,1.26186,1.83057,0.4877,0.44328,0.43797,0.22092,1.99787,1.39539,2.15388,0.000644458,0.000644458,0.000644458
47,3327.05,1.52934,1.24383,1.81683,0.53928,0.42551,0.43109,0.21555,2.01434,1.38525,2.15298,0.000630838,0.000630838,0.000630838
48,3397.82,1.52019,1.23161,1.80494,0.55142,0.42868,0.44259,0.21987,1.99826,1.38527,2.15108,0.000617116,0.000617116,0.000617116
49,3468.37,1.51983,1.22718,1.81225,0.51757,0.42833,0.43384,0.22166,2.01934,1.37191,2.16441,0.000603302,0.000603302,0.000603302
50,3539.04,1.50776,1.19199,1.78527,0.5033,0.43811,0.43042,0.22269,1.97097,1.37848,2.13433,0.000589408,0.000589408,0.000589408
51,3609.62,1.49172,1.1755,1.7705,0.54819,0.43911,0.44024,0.22346,2.00311,1.33814,2.16066,0.000575446,0.000575446,0.000575446
52,3680.4,1.48626,1.16623,1.7692,0.52198,0.41688,0.43307,0.21944,1.9829,1.37518,2.15969,0.000561426,0.000561426,0.000561426
53,3751.06,1.4697,1.1455,1.75521,0.53783,0.41308,0.43835,0.21714,2.02914,1.36573,2.17453,0.00054736,0.00054736,0.00054736
54,3821.69,1.45775,1.14102,1.75073,0.5616,0.42007,0.43555,0.21757,2.01295,1.37056,2.17276,0.000533259,0.000533259,0.000533259
55,3892.26,1.45393,1.13306,1.74469,0.50554,0.43715,0.4415,0.22322,1.98998,1.34895,2.16061,0.000519135,0.000519135,0.000519135
56,3962.68,1.46066,1.13075,1.74469,0.56535,0.41207,0.43759,0.216,2.02912,1.36804,2.19941,0.000505,0.000505,0.000505
57,4033.26,1.44965,1.11986,1.73,0.51696,0.43469,0.42893,0.21774,1.98262,1.36535,2.15734,0.000490865,0.000490865,0.000490865
58,4103.7,1.43805,1.11141,1.73288,0.51125,0.46267,0.4475,0.22381,1.97676,1.34475,2.14834,0.000476741,0.000476741,0.000476741
59,4174.19,1.41545,1.05914,1.69684,0.55501,0.43518,0.4492,0.22552,2.01444,1.33311,2.17164,0.00046264,0.00046264,0.00046264
