epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2504,2.00532,3.60934,1.96821,0.40016,0.2012,0.11886,0.05568,2.66954,3.45883,2.6641,0.000369015,0.000369015,0.000369015
2,176.785,2.07416,3.12754,2.03178,0.45954,0.1489,0.13091,0.0578,2.71421,3.03446,2.73194,0.000732029,0.000732029,0.000732029
3,260.393,2.10138,2.96588,2.06158,0.3432,0.13588,0.072,0.03335,2.82977,3.3099,2.78507,0.00108771,0.00108771,0.00108771
4,345.646,2.07068,2.90609,2.04474,0.43411,0.13747,0.12631,0.06052,2.7471,3.02136,2.75015,0.001078,0.001078,0.001078
5,430.561,2.02906,2.78358,2.01753,0.61544,0.15026,0.17798,0.08332,2.50947,3.20259,2.59861,0.001067,0.001067,0.001067
6,515.189,2.00886,2.73473,2.00231,0.52107,0.2037,0.18885,0.09078,2.52139,2.86035,2.55077,0.00105601,0.00105601,0.00105601
7,601.344,1.97011,2.67641,1.95937,0.45063,0.24115,0.20957,0.09811,2.45226,2.70579,2.45636,0.00104501,0.00104501,0.00104501
8,686.12,1.95244,2.63688,1.97141,0.50586,0.25041,0.23042,0.10903,2.46203,2.67408,2.43582,0.00103401,0.00103401,0.00103401
9,770.21,1.93348,2.6136,1.9462,0.48751,0.22897,0.20161,0.09657,2.47235,2.69189,2.51622,0.00102301,0.00102301,0.00102301
10,854.664,1.87803,2.53794,1.9115,0.48347,0.26983,0.23579,0.11589,2.40855,2.56531,2.48484,0.00101201,0.00101201,0.00101201
11,939.792,1.87688,2.5238,1.90871,0.52101,0.25025,0.23332,0.11822,2.35219,2.62904,2.42489,0.00100101,0.00100101,0.00100101
12,1027.26,1.86653,2.47026,1.89464,0.55607,0.25667,0.25739,0.13055,2.35476,2.62465,2.4509,0.000990012,0.000990012,0.000990012
13,1114.69,1.81589,2.41727,1.84968,0.52313,0.26654,0.25205,0.12691,2.35314,2.58024,2.48786,0.000979013,0.000979013,0.000979013
14,1202.35,1.8322,2.4156,1.87566,0.51553,0.2764,0.25213,0.1321,2.31404,2.47386,2.4131,0.000968014,0.000968014,0.000968014
15,1289.39,1.80424,2.39464,1.84634,0.5274,0.27567,0.24491,0.12029,2.37448,2.56026,2.53162,0.000957015,0.000957015,0.000957015
16,1374.99,1.81865,2.37909,1.84694,0.54461,0.29008,0.29391,0.14889,2.29026,2.46155,2.41322,0.000946016,0.000946016,0.000946016
17,1462.74,1.79124,2.35056,1.8325,0.49937,0.27757,0.27087,0.14148,2.30938,2.48128,2.46894,0.000935018,0.000935018,0.000935018
18,1549.98,1.76926,2.31406,1.80813,0.50932,0.30097,0.27377,0.14449,2.30066,2.43626,2.40659,0.000924019,0.000924019,0.000924019
19,1638.04,1.7571,2.28475,1.79436,0.57967,0.30161,0.30325,0.15765,2.32449,2.34927,2.44027,0.00091302,0.00091302,0.00091302
20,1723.87,1.7541,2.28077,1.80536,0.59871,0.26869,0.29453,0.15298,2.27351,2.44219,2.38138,0.000902021,0.000902021,0.000902021
21,1810.85,1.74298,2.26883,1.78614,0.55318,0.32925,0.32268,0.17131,2.26681,2.33026,2.37897,0.000891022,0.000891022,0.000891022
22,1898.21,1.73938,2.25563,1.79365,0.56949,0.30235,0.30891,0.15858,2.31401,2.34918,2.47934,0.000880023,0.000880023,0.000880023
23,1985.34,1.73388,2.22298,1.77616,0.55502,0.30923,0.30979,0.16279,2.28388,2.31208,2.45807,0.000869024,0.000869024,0.000869024
24,2072.44,1.71376,2.21395,1.75427,0.58034,0.30432,0.30428,0.16188,2.23694,2.34572,2.41638,0.000858025,0.000858025,0.000858025
25,2160.06,1.69451,2.17733,1.7405,0.56951,0.3124,0.32742,0.17044,2.23594,2.3462,2.37559,0.000847026,0.000847026,0.000847026
26,2248.12,1.70304,2.1779,1.7572,0.53865,0.314,0.30028,0.163,2.26597,2.35016,2.41581,0.000836027,0.000836027,0.000836027
27,2335.24,1.71759,2.17099,1.76105,0.54046,0.30203,0.30539,0.16246,2.21598,2.35381,2.35988,0.000825029,0.000825029,0.000825029
28,2422.33,1.69685,2.16033,1.74852,0.54774,0.31532,0.31121,0.16922,2.25552,2.31146,2.38818,0.00081403,0.00081403,0.00081403
29,2507.54,1.68879,2.14187,1.74814,0.5739,0.3229,0.33232,0.18008,2.25596,2.2439,2.42723,0.000803031,0.000803031,0.000803031
30,2595.05,1.68211,2.12991,1.73099,0.56926,0.32764,0.33493,0.17918,2.20428,2.29664,2.33609,0.000792032,0.000792032,0.000792032
31,2682.35,1.6747,2.08693,1.72698,0.56413,0.33532,0.33261,0.18016,2.2194,2.25133,2.35628,0.000781033,0.000781033,0.000781033
32,2772.63,1.64567,2.05239,1.70308,0.60177,0.34153,0.34397,0.17879,2.2433,2.2475,2.35403,0.000770034,0.000770034,0.000770034
33,2859.39,1.64447,2.07237,1.69851,0.59651,0.34086,0.35203,0.19106,2.18703,2.17242,2.36713,0.000759035,0.000759035,0.000759035
34,2944.83,1.63153,2.01485,1.69702,0.60314,0.32709,0.34892,0.18851,2.17907,2.18519,2.37558,0.000748036,0.000748036,0.000748036
35,3031.41,1.64257,2.03401,1.70425,0.59742,0.33816,0.35074,0.19001,2.21168,2.20985,2.41988,0.000737037,0.000737037,0.000737037
36,3118.13,1.61958,1.99072,1.68079,0.59305,0.32935,0.34672,0.18987,2.17044,2.18534,2.35808,0.000726038,0.000726038,0.000726038
37,3204.84,1.61653,2.00356,1.68356,0.62114,0.33954,0.35992,0.19383,2.19147,2.15389,2.39058,0.00071504,0.00071504,0.00071504
38,3291.4,1.62228,2.00378,1.68899,0.62268,0.33675,0.37096,0.20068,2.1825,2.12729,2.41288,0.000704041,0.000704041,0.000704041
39,3378.58,1.61128,1.98351,1.67655,0.59539,0.35574,0.36819,0.20126,2.18168,2.09733,2.38023,0.000693042,0.000693042,0.000693042
40,3465.6,1.60424,1.95591,1.67159,0.61652,0.34041,0.35172,0.19138,2.18347,2.15317,2.38767,0.000682043,0.000682043,0.000682043
41,3552.42,1.58627,1.93593,1.65269,0.61692,0.33411,0.35396,0.19309,2.18462,2.17146,2.36774,0.000671044,0.000671044,0.000671044
42,3638.14,1.60291,1.96143,1.67393,0.60232,0.34607,0.3642,0.20144,2.17424,2.15959,2.35957,0.000660045,0.000660045,0.000660045
43,3726.6,1.58253,1.9239,1.64785,0.6193,0.37107,0.38083,0.2078,2.19145,2.10717,2.43828,0.000649046,0.000649046,0.000649046
44,3813.88,1.56155,1.90514,1.64274,0.64581,0.34618,0.37698,0.20658,2.17162,2.10421,2.39377,0.000638047,0.000638047,0.000638047
45,3900.65,1.56361,1.88272,1.62971,0.59308,0.37028,0.37431,0.20757,2.17276,2.12398,2.39227,0.000627048,0.000627048,0.000627048
46,3986.84,1.56789,1.87863,1.64195,0.58762,0.37475,0.37081,0.20034,2.14184,2.12159,2.31225,0.000616049,0.000616049,0.000616049
47,4075.41,1.57306,1.87894,1.62969,0.62154,0.35607,0.38573,0.214,2.14379,2.0631,2.34055,0.000605051,0.000605051,0.000605051
48,4162.58,1.55439,1.88338,1.63509,0.63754,0.34152,0.37793,0.20822,2.17453,2.11034,2.34292,0.000594052,0.000594052,0.000594052
49,4249.23,1.5439,1.85615,1.618,0.62286,0.37988,0.39034,0.21712,2.14487,2.05212,2.35242,0.000583053,0.000583053,0.000583053
50,4334.65,1.56129,1.88442,1.63791,0.59736,0.37512,0.377,0.2094,2.14821,2.12573,2.3439,0.000572054,0.000572054,0.000572054
51,4421.59,1.52897,1.84279,1.61985,0.62096,0.36748,0.38927,0.21752,2.14135,2.06644,2.36373,0.000561055,0.000561055,0.000561055
52,4509.01,1.52741,1.82058,1.61756,0.61968,0.36728,0.38543,0.21505,2.11225,2.05922,2.35095,0.000550056,0.000550056,0.000550056
53,4596.98,1.52402,1.83145,1.61231,0.60509,0.39012,0.39547,0.2205,2.1615,2.0605,2.37008,0.000539057,0.000539057,0.000539057
54,4682.45,1.53182,1.82279,1.62002,0.61992,0.36681,0.38035,0.21191,2.12903,2.06286,2.34815,0.000528058,0.000528058,0.000528058
